***** Distribution. ORDER 1 *****
48,58 -> 59 : 0.57143
48,58 -> 68 : 0.07143
48,58 -> 57 : 0.07143
59,58 -> 48 : 0.33333
59,58 -> 59 : 0.22222
59,58 -> 57 : 0.27778
59,58 -> 68 : 0.16667
58,59 -> 58 : 0.22222
58,59 -> 69 : 0.38889
58,59 -> 50 : 0.22222
58,59 -> 49 : 0.16667
49,59 -> 50 : 0.30769
49,59 -> 69 : 0.38462
49,59 -> 58 : 0.23077
49,59 -> 49 : 0.07692
50,59 -> 69 : 0.125
50,59 -> 58 : 0.3125
50,59 -> 50 : 0.3125
50,59 -> 49 : 0.25
34,44 -> 54 : 0.26316
34,44 -> 34 : 0.26316
34,44 -> 45 : 0.42105
34,44 -> 43 : 0.05263
53,54 -> 55 : 0.25
53,54 -> 53 : 0.33333
53,54 -> 64 : 0.25
53,54 -> 44 : 0.16667
54,55 -> 54 : 0.41176
54,55 -> 65 : 0.23529
54,55 -> 45 : 0.23529
54,55 -> 56 : 0.11765
85,86 -> 76 : 0.57143
85,86 -> 87 : 0.42857
76,86 -> 96 : 0.5
76,86 -> 87 : 0.25
76,86 -> 85 : 0.25
96,86 -> 87 : 0.66667
96,86 -> 96 : 0.22222
96,86 -> 76 : 0.11111
87,86 -> 87 : 0.38462
87,86 -> 96 : 0.23077
87,86 -> 85 : 0.23077
87,86 -> 76 : 0.15385
86,87 -> 86 : 0.4
86,87 -> 97 : 0.2
86,87 -> 77 : 0.33333
86,87 -> 88 : 0.06667
99,9 -> 8 : 0.71429
99,9 -> 99 : 0.14286
99,9 -> 0 : 0.14286
8,9 -> 19 : 0.18182
8,9 -> 0 : 0.36364
8,9 -> 99 : 0.18182
8,9 -> 8 : 0.27273
10,11 -> 12 : 0.42857
10,11 -> 21 : 0.57143
1,11 -> 21 : 0.23529
1,11 -> 12 : 0.29412
1,11 -> 10 : 0.17647
1,11 -> 1 : 0.29412
11,21 -> 20 : 0.7
11,21 -> 22 : 0.2
11,21 -> 31 : 0.1
20,21 -> 31 : 0.7
20,21 -> 22 : 0.3
31,41 -> 51 : 0.25
31,41 -> 42 : 0.33333
31,41 -> 40 : 0.16667
31,41 -> 31 : 0.25
51,41 -> 42 : 0.25
51,41 -> 51 : 0.375
51,41 -> 40 : 0.25
51,41 -> 31 : 0.125
41,51 -> 52 : 0.125
41,51 -> 50 : 0.25
41,51 -> 41 : 0.3125
41,51 -> 61 : 0.3125
61,51 -> 41 : 0.25
61,51 -> 61 : 0.125
61,51 -> 52 : 0.375
61,51 -> 50 : 0.25
42,52 -> 53 : 0.69231
42,52 -> 42 : 0.07692
42,52 -> 62 : 0.23077
62,52 -> 62 : 0.33333
62,52 -> 51 : 0.55556
62,52 -> 42 : 0.11111
52,62 -> 72 : 0.27273
52,62 -> 61 : 0.27273
52,62 -> 52 : 0.18182
52,62 -> 63 : 0.27273
63,62 -> 52 : 0.33333
63,62 -> 63 : 0.33333
63,62 -> 61 : 0.16667
63,62 -> 72 : 0.16667
61,62 -> 52 : 0.21429
61,62 -> 61 : 0.28571
61,62 -> 63 : 0.21429
61,62 -> 72 : 0.28571
62,72 -> 71 : 0.33333
62,72 -> 62 : 0.33333
62,72 -> 73 : 0.22222
62,72 -> 82 : 0.11111
71,72 -> 71 : 0.38889
71,72 -> 62 : 0.11111
71,72 -> 73 : 0.27778
71,72 -> 82 : 0.22222
72,71 -> 72 : 0.45
72,71 -> 81 : 0.1
72,71 -> 61 : 0.3
72,71 -> 70 : 0.15
81,71 -> 61 : 0.2
81,71 -> 70 : 0.8
71,61 -> 51 : 0.38462
71,61 -> 60 : 0.30769
71,61 -> 62 : 0.23077
71,61 -> 71 : 0.07692
62,61 -> 62 : 0.27273
62,61 -> 51 : 0.09091
62,61 -> 60 : 0.45455
62,61 -> 71 : 0.18182
41,42 -> 52 : 0.5
41,42 -> 43 : 0.3
41,42 -> 32 : 0.1
41,42 -> 41 : 0.1
43,42 -> 52 : 0.44444
43,42 -> 41 : 0.22222
43,42 -> 43 : 0.33333
52,42 -> 43 : 0.55556
52,42 -> 41 : 0.33333
52,42 -> 52 : 0.11111
52,53 -> 43 : 0.3125
52,53 -> 52 : 0.3125
52,53 -> 63 : 0.1875
52,53 -> 54 : 0.1875
54,53 -> 43 : 0.31579
54,53 -> 52 : 0.21053
54,53 -> 63 : 0.21053
54,53 -> 54 : 0.26316
43,53 -> 54 : 0.36364
43,53 -> 63 : 0.09091
43,53 -> 43 : 0.45455
43,53 -> 52 : 0.09091
53,43 -> 42 : 0.3125
53,43 -> 53 : 0.25
53,43 -> 44 : 0.125
53,43 -> 33 : 0.3125
77,2 -> 4 : 1.0
1,0 -> 90 : 0.35714
1,0 -> 10 : 0.28571
1,0 -> 9 : 0.07143
1,0 -> 1 : 0.28571
90,0 -> 90 : 0.44444
90,0 -> 9 : 0.22222
90,0 -> 1 : 0.22222
90,0 -> 10 : 0.11111
0,90 -> 0 : 0.36364
0,90 -> 80 : 0.36364
0,90 -> 99 : 0.18182
0,90 -> 91 : 0.09091
0,9 -> 99 : 0.33333
0,9 -> 19 : 0.22222
0,9 -> 0 : 0.33333
0,9 -> 8 : 0.11111
9,99 -> 9 : 0.5
9,99 -> 89 : 0.25
9,99 -> 98 : 0.125
9,99 -> 90 : 0.125
89,99 -> 89 : 0.25
89,99 -> 9 : 0.5
89,99 -> 98 : 0.25
98,99 -> 89 : 0.125
98,99 -> 98 : 0.25
98,99 -> 90 : 0.25
98,99 -> 9 : 0.375
99,89 -> 99 : 0.2
99,89 -> 79 : 0.8
89,79 -> 78 : 0.28571
89,79 -> 70 : 0.28571
89,79 -> 69 : 0.28571
89,79 -> 89 : 0.14286
70,79 -> 70 : 0.44444
70,79 -> 78 : 0.33333
